COUNTRY,EVENT_TYPE,EVENTS
Afghanistan,Riots,1
Afghanistan,Riots,1
Afghanistan,Riots,1
Afghanistan,Riots,2
Afghanistan,Riots,3
Afghanistan,Riots,1
Afghanistan,Riots,2
Afghanistan,Riots,1
Afghanistan,Riots,1
Afghanistan,Riots,1
Afghanistan,Riots,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,3
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,3
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,4
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,3
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,3
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,3
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,4
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,2
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
Afghanistan,Violence against civilians,1
