COUNTRY,EVENT_TYPE,EVENTS
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,2
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Violence against civilians,1
Iran,Violence against civilians,1
Iran,Explosions/Remote violence,6
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,4
Iran,Riots,2
Iran,Riots,1
Iran,Riots,1
Iran,Riots,2
Iran,Riots,2
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Violence against civilians,1
Iran,Violence against civilians,1
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,2
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Explosions/Remote violence,6
Iran,Explosions/Remote violence,15
Iran,Explosions/Remote violence,8
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,2
Iran,Explosions/Remote violence,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,3
Iran,Riots,3
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Violence against civilians,1
Iran,Violence against civilians,1
Iran,Violence against civilians,1
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,6
Iran,Explosions/Remote violence,1
Iran,Explosions/Remote violence,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
Iran,Riots,1
