COUNTRY,CENTROID_LATITUDE,CENTROID_LONGITUDE,EVENT_TYPE,EVENTS
Algeria,36.1089,5.5587,Riots,6
Algeria,36.1089,5.5587,Violence against civilians,3
Algeria,36.1394,7.825,Explosions/Remote violence,2
Algeria,36.1394,7.825,Riots,4
Algeria,36.1614,2.086,Explosions/Remote violence,17
Algeria,36.1614,2.086,Riots,4
Algeria,36.1614,2.086,Violence against civilians,29
Algeria,36.205,1.2672,Explosions/Remote violence,6
Algeria,36.205,1.2672,Riots,13
Algeria,36.205,1.2672,Violence against civilians,31
Algeria,36.2328,3.9075,Explosions/Remote violence,65
Algeria,36.2328,3.9075,Riots,72
Algeria,36.2328,3.9075,Violence against civilians,12
Algeria,36.2521,6.1652,Riots,10
Algeria,36.3494,7.4116,Riots,4
Algeria,36.3603,6.6681,Explosions/Remote violence,3
Algeria,36.3603,6.6681,Riots,13
Algeria,36.3603,6.6681,Violence against civilians,3
Algeria,36.5045,2.9556,Explosions/Remote violence,12
Algeria,36.5045,2.9556,Riots,9
Algeria,36.5045,2.9556,Violence against civilians,45
Algeria,36.5302,2.17,Explosions/Remote violence,4
Algeria,36.5302,2.17,Riots,13
Algeria,36.5302,2.17,Violence against civilians,36
Algeria,36.5581,4.7901,Explosions/Remote violence,29
Algeria,36.5581,4.7901,Riots,120
Algeria,36.5581,4.7901,Violence against civilians,5
Algeria,36.6722,8.0714,Explosions/Remote violence,2
Algeria,36.6722,8.0714,Riots,9
Algeria,36.6722,8.0714,Violence against civilians,2
Algeria,36.6832,4.2389,Explosions/Remote violence,111
Algeria,36.6832,4.2389,Riots,116
Algeria,36.6832,4.2389,Violence against civilians,45
Algeria,36.7019,3.032,Explosions/Remote violence,41
Algeria,36.7019,3.032,Riots,117
Algeria,36.7019,3.032,Violence against civilians,58
Algeria,36.7309,5.9606,Explosions/Remote violence,30
Algeria,36.7309,5.9606,Riots,8
Algeria,36.7309,5.9606,Violence against civilians,12
Algeria,36.7364,3.6204,Explosions/Remote violence,129
Algeria,36.7364,3.6204,Riots,23
Algeria,36.7364,3.6204,Violence against civilians,50
Algeria,36.7548,6.889,Explosions/Remote violence,14
Algeria,36.7548,6.889,Riots,29
Algeria,36.7548,6.889,Violence against civilians,13
Algeria,36.8456,7.6004,Explosions/Remote violence,5
Algeria,36.8456,7.6004,Riots,27
Algeria,36.8456,7.6004,Violence against civilians,7
Angola,-16.2928,15.6012,Explosions/Remote violence,2
Angola,-16.2928,15.6012,Riots,1
Angola,-16.2928,15.6012,Violence against civilians,8
Angola,-15.8033,19.4668,Explosions/Remote violence,7
Angola,-15.8033,19.4668,Riots,4
Angola,-15.8033,19.4668,Violence against civilians,25
Angola,-15.3936,12.7292,Riots,6
Angola,-15.3936,12.7292,Violence against civilians,4
Angola,-14.8532,15.0095,Explosions/Remote violence,4
Angola,-14.8532,15.0095,Riots,25
Angola,-14.8532,15.0095,Violence against civilians,31
Angola,-13.3855,19.9732,Explosions/Remote violence,2
Angola,-13.3855,19.9732,Riots,10
Angola,-13.3855,19.9732,Violence against civilians,6
Angola,-12.819,13.9009,Explosions/Remote violence,2
Angola,-12.819,13.9009,Riots,29
Angola,-12.819,13.9009,Violence against civilians,52
Angola,-12.6045,15.6088,Explosions/Remote violence,36
Angola,-12.6045,15.6088,Riots,35
Angola,-12.6045,15.6088,Violence against civilians,44
Angola,-12.4421,17.4172,Explosions/Remote violence,19
Angola,-12.4421,17.4172,Riots,14
Angola,-12.4421,17.4172,Violence against civilians,52
Angola,-10.9446,15.0489,Explosions/Remote violence,1
Angola,-10.9446,15.0489,Riots,5
Angola,-10.9446,15.0489,Violence against civilians,23
Angola,-9.8976,20.9525,Explosions/Remote violence,5
Angola,-9.8976,20.9525,Riots,2
Angola,-9.8976,20.9525,Violence against civilians,17
Angola,-9.5911,13.6784,Explosions/Remote violence,3
Angola,-9.5911,13.6784,Riots,99
Angola,-9.5911,13.6784,Violence against civilians,116
Angola,-9.5296,16.2659,Explosions/Remote violence,8
Angola,-9.5296,16.2659,Riots,6
Angola,-9.5296,16.2659,Violence against civilians,37
Angola,-8.8589,15.0965,Riots,8
Angola,-8.8589,15.0965,Violence against civilians,17
Angola,-8.5985,19.3496,Explosions/Remote violence,2
Angola,-8.5985,19.3496,Riots,6
Angola,-8.5985,19.3496,Violence against civilians,86
Angola,-8.2837,13.9877,Riots,5
Angola,-8.2837,13.9877,Violence against civilians,25
Angola,-7.1263,15.3904,Explosions/Remote violence,1
Angola,-7.1263,15.3904,Riots,13
Angola,-7.1263,15.3904,Violence against civilians,41
Angola,-6.8131,13.4709,Riots,9
Angola,-6.8131,13.4709,Violence against civilians,11
Angola,-5.0815,12.2558,Riots,1
Angola,-5.0815,12.2558,Violence against civilians,82
Benin,6.2375,2.1643,Violence against civilians,2
Benin,6.3711,2.3916,Riots,13
Benin,6.3711,2.3916,Violence against civilians,12
Benin,6.5445,1.8442,Riots,11
Benin,6.5445,1.8442,Violence against civilians,2
Benin,6.6135,2.2186,Riots,30
Benin,6.6135,2.2186,Violence against civilians,11
Benin,6.6663,2.516,Riots,14
Benin,6.6663,2.516,Violence against civilians,3
Benin,7.0993,2.6466,Riots,6
Benin,7.0993,2.6466,Violence against civilians,15
Benin,7.1325,1.7567,Riots,12
Benin,7.1325,1.7567,Violence against civilians,3
Benin,7.2807,2.1233,Explosions/Remote violence,1
Benin,7.2807,2.1233,Riots,17
Benin,7.2807,2.1233,Violence against civilians,15
Benin,7.9413,2.1656,Riots,29
Benin,7.9413,2.1656,Violence against civilians,21
Benin,9.2644,1.7188,Riots,27
Benin,9.2644,1.7188,Violence against civilians,16
Benin,9.7104,2.7396,Riots,106
Benin,9.7104,2.7396,Violence against civilians,82
Benin,10.5177,1.52,Explosions/Remote violence,23
Benin,10.5177,1.52,Riots,63
Benin,10.5177,1.52,Violence against civilians,158
Benin,11.4661,2.7958,Explosions/Remote violence,19
Benin,11.4661,2.7958,Riots,45
Benin,11.4661,2.7958,Violence against civilians,287
Botswana,-24.9904,25.7263,Riots,14
Botswana,-24.9904,25.7263,Violence against civilians,6
Botswana,-24.9552,24.92,Riots,4
Botswana,-24.9552,24.92,Violence against civilians,1
Botswana,-24.1306,26.4186,Riots,2
Botswana,-24.1306,26.4186,Violence against civilians,1
Botswana,-23.8636,24.5302,Riots,20
Botswana,-21.4821,25.9095,Riots,8
Botswana,-21.4821,25.9095,Violence against civilians,3
Botswana,-21.0189,27.5253,Riots,7
Botswana,-21.0189,27.5253,Violence against civilians,2
Botswana,-19.5117,22.9992,Riots,2
Botswana,-19.5117,22.9992,Violence against civilians,3
Botswana,-18.3899,24.7057,Violence against civilians,2
Burkina Faso,10.3094,-4.4899,Explosions/Remote violence,67
Burkina Faso,10.3094,-4.4899,Riots,19
Burkina Faso,10.3094,-4.4899,Violence against civilians,85
Burkina Faso,10.3884,-3.2821,Explosions/Remote violence,30
Burkina Faso,10.3884,-3.2821,Riots,24
Burkina Faso,10.3884,-3.2821,Violence against civilians,41
Burkina Faso,11.3961,-4.0335,Explosions/Remote violence,17
Burkina Faso,11.3961,-4.0335,Riots,46
Burkina Faso,11.3961,-4.0335,Violence against civilians,89
Burkina Faso,11.5867,-1.0624,Explosions/Remote violence,1
Burkina Faso,11.5867,-1.0624,Riots,22
Burkina Faso,11.5867,-1.0624,Violence against civilians,15
Burkina Faso,11.718,-0.2756,Explosions/Remote violence,119
Burkina Faso,11.718,-0.2756,Riots,26
Burkina Faso,11.718,-0.2756,Violence against civilians,178
Burkina Faso,11.9045,-2.304,Explosions/Remote violence,8
Burkina Faso,11.9045,-2.304,Riots,26
Burkina Faso,11.9045,-2.304,Violence against civilians,35
Burkina Faso,12.257,1.0058,Explosions/Remote violence,374
Burkina Faso,12.257,1.0058,Riots,23
Burkina Faso,12.257,1.0058,Violence against civilians,743
Burkina Faso,12.3632,-1.542,Explosions/Remote violence,3
Burkina Faso,12.3632,-1.542,Riots,115
Burkina Faso,12.3632,-1.542,Violence against civilians,54
Burkina Faso,12.4015,-0.8892,Riots,11
Burkina Faso,12.4015,-0.8892,Violence against civilians,5
Burkina Faso,12.4738,-3.5892,Explosions/Remote violence,206
Burkina Faso,12.4738,-3.5892,Riots,20
Burkina Faso,12.4738,-3.5892,Violence against civilians,338
Burkina Faso,13.2243,-1.0307,Explosions/Remote violence,293
Burkina Faso,13.2243,-1.0307,Riots,29
Burkina Faso,13.2243,-1.0307,Violence against civilians,389
Burkina Faso,13.453,-2.2505,Explosions/Remote violence,262
Burkina Faso,13.453,-2.2505,Riots,34
Burkina Faso,13.453,-2.2505,Violence against civilians,267
Burkina Faso,14.0239,-0.768,Explosions/Remote violence,652
Burkina Faso,14.0239,-0.768,Riots,14
Burkina Faso,14.0239,-0.768,Violence against civilians,1070
Burundi,-4.2352,29.8003,Explosions/Remote violence,20
Burundi,-4.2352,29.8003,Riots,36
Burundi,-4.2352,29.8003,Violence against civilians,441
Burundi,-3.8747,29.4703,Explosions/Remote violence,17
Burundi,-3.8747,29.4703,Riots,24
Burundi,-3.8747,29.4703,Violence against civilians,265
Burundi,-3.8649,30.0934,Explosions/Remote violence,10
Burundi,-3.8649,30.0934,Riots,8
Burundi,-3.8649,30.0934,Violence against civilians,174
Burundi,-3.8593,29.7322,Explosions/Remote violence,19
Burundi,-3.8593,29.7322,Riots,18
Burundi,-3.8593,29.7322,Violence against civilians,163
Burundi,-3.5103,29.7149,Explosions/Remote violence,8
Burundi,-3.5103,29.7149,Riots,14
Burundi,-3.5103,29.7149,Violence against civilians,105
Burundi,-3.4626,29.4846,Explosions/Remote violence,33
Burundi,-3.4626,29.4846,Riots,33
Burundi,-3.4626,29.4846,Violence against civilians,443
Burundi,-3.4607,30.3445,Explosions/Remote violence,28
Burundi,-3.4607,30.3445,Riots,30
Burundi,-3.4607,30.3445,Violence against civilians,277
Burundi,-3.4513,29.9635,Explosions/Remote violence,36
Burundi,-3.4513,29.9635,Riots,40
Burundi,-3.4513,29.9635,Violence against civilians,310
Burundi,-3.3944,29.3671,Explosions/Remote violence,307
Burundi,-3.3944,29.3671,Riots,210
Burundi,-3.3944,29.3671,Violence against civilians,1000
Burundi,-3.2666,29.6532,Explosions/Remote violence,16
Burundi,-3.2666,29.6532,Riots,2
Burundi,-3.2666,29.6532,Violence against civilians,179
Burundi,-3.149,30.0794,Explosions/Remote violence,5
Burundi,-3.149,30.0794,Riots,29
Burundi,-3.149,30.0794,Violence against civilians,209
Burundi,-3.1443,30.5908,Explosions/Remote violence,6
Burundi,-3.1443,30.5908,Riots,23
Burundi,-3.1443,30.5908,Violence against civilians,133
Burundi,-3.1178,29.3985,Explosions/Remote violence,43
Burundi,-3.1178,29.3985,Riots,23
Burundi,-3.1178,29.3985,Violence against civilians,509
Burundi,-3.0087,29.6618,Explosions/Remote violence,11
Burundi,-3.0087,29.6618,Riots,22
Burundi,-3.0087,29.6618,Violence against civilians,310
Burundi,-2.8719,29.9234,Explosions/Remote violence,13
Burundi,-2.8719,29.9234,Riots,20
Burundi,-2.8719,29.9234,Violence against civilians,224
Burundi,-2.8475,29.2622,Explosions/Remote violence,31
Burundi,-2.8475,29.2622,Riots,73
Burundi,-2.8475,29.2622,Violence against civilians,522
Burundi,-2.7346,30.3159,Explosions/Remote violence,19
Burundi,-2.7346,30.3159,Riots,21
Burundi,-2.7346,30.3159,Violence against civilians,175
Burundi,-2.5556,30.1656,Explosions/Remote violence,43
Burundi,-2.5556,30.1656,Riots,39
Burundi,-2.5556,30.1656,Violence against civilians,428
Cameroon,2.9212,11.3475,Riots,17
Cameroon,2.9212,11.3475,Violence against civilians,2
Cameroon,3.8946,13.8592,Riots,10
Cameroon,3.8946,13.8592,Violence against civilians,15
Cameroon,4.2905,10.2235,Explosions/Remote violence,5
Cameroon,4.2905,10.2235,Riots,79
Cameroon,4.2905,10.2235,Violence against civilians,65
Cameroon,4.6837,11.854,Explosions/Remote violence,10
Cameroon,4.6837,11.854,Riots,68
Cameroon,4.6837,11.854,Violence against civilians,61
Cameroon,5.236,9.2808,Explosions/Remote violence,88
Cameroon,5.236,9.2808,Riots,104
Cameroon,5.236,9.2808,Violence against civilians,1963
Cameroon,5.5347,10.583,Explosions/Remote violence,3
Cameroon,5.5347,10.583,Riots,57
Cameroon,5.5347,10.583,Violence against civilians,59
Cameroon,6.4342,10.4682,Explosions/Remote violence,172
Cameroon,6.4342,10.4682,Riots,140
Cameroon,6.4342,10.4682,Violence against civilians,2822
Cameroon,7.0781,13.218,Riots,4
Cameroon,7.0781,13.218,Violence against civilians,27
Cameroon,8.6371,13.8726,Riots,15
Cameroon,8.6371,13.8726,Violence against civilians,69
Cameroon,11.4565,14.792,Explosions/Remote violence,270
Cameroon,11.4565,14.792,Riots,141
Cameroon,11.4565,14.792,Violence against civilians,2203
Cape Verde,14.9219,-24.4413,Riots,1
Cape Verde,14.9487,-23.5222,Riots,1
Cape Verde,14.9487,-23.5222,Violence against civilians,2
Cape Verde,15.1129,-23.5521,Riots,1
Cape Verde,15.1129,-23.5521,Violence against civilians,1
Cape Verde,16.8493,-24.9718,Riots,2
Cape Verde,16.8493,-24.9718,Violence against civilians,1
Central African Republic,3.2231,16.1735,Explosions/Remote violence,1
Central African Republic,3.2231,16.1735,Riots,2
Central African Republic,3.2231,16.1735,Violence against civilians,14
Central African Republic,4.2718,17.5397,Explosions/Remote violence,3
Central African Republic,4.2718,17.5397,Riots,21
Central African Republic,4.2718,17.5397,Violence against civilians,42
Central African Republic,4.3755,18.5531,Explosions/Remote violence,42
Central African Republic,4.3755,18.5531,Riots,217
Central African Republic,4.3755,18.5531,Violence against civilians,359
Central African Republic,4.5495,15.8579,Explosions/Remote violence,9
Central African Republic,4.5495,15.8579,Riots,11
Central African Republic,4.5495,15.8579,Violence against civilians,84
Central African Republic,4.8791,18.1909,Explosions/Remote violence,9
Central African Republic,4.8791,18.1909,Riots,26
Central African Republic,4.8791,18.1909,Violence against civilians,157
Central African Republic,4.9577,21.3507,Explosions/Remote violence,1
Central African Republic,4.9577,21.3507,Riots,4
Central African Republic,4.9577,21.3507,Violence against civilians,88
Central African Republic,5.4318,23.4284,Explosions/Remote violence,1
Central African Republic,5.4318,23.4284,Riots,8
Central African Republic,5.4318,23.4284,Violence against civilians,201
Central African Republic,5.7276,19.1448,Riots,7
Central African Republic,5.7276,19.1448,Violence against civilians,66
Central African Republic,5.8422,15.2811,Explosions/Remote violence,22
Central African Republic,5.8422,15.2811,Riots,11
Central African Republic,5.8422,15.2811,Violence against civilians,180
Central African Republic,6.1296,20.8123,Explosions/Remote violence,9
Central African Republic,6.1296,20.8123,Riots,17
Central African Republic,6.1296,20.8123,Violence against civilians,302
Central African Republic,6.5837,25.3754,Explosions/Remote violence,2
Central African Republic,6.5837,25.3754,Riots,19
Central African Republic,6.5837,25.3754,Violence against civilians,388
Central African Republic,6.7146,15.9795,Explosions/Remote violence,30
Central African Republic,6.7146,15.9795,Riots,23
Central African Republic,6.7146,15.9795,Violence against civilians,426
Central African Republic,7.0641,17.7447,Explosions/Remote violence,5
Central African Republic,7.0641,17.7447,Riots,19
Central African Republic,7.0641,17.7447,Violence against civilians,372
Central African Republic,7.3296,22.9458,Explosions/Remote violence,2
Central African Republic,7.3296,22.9458,Riots,18
Central African Republic,7.3296,22.9458,Violence against civilians,333
Central African Republic,7.4966,19.2495,Explosions/Remote violence,5
Central African Republic,7.4966,19.2495,Riots,6
Central African Republic,7.4966,19.2495,Violence against civilians,127
Central African Republic,8.3892,20.5713,Explosions/Remote violence,6
Central African Republic,8.3892,20.5713,Riots,5
Central African Republic,8.3892,20.5713,Violence against civilians,57
Central African Republic,9.8022,22.4016,Explosions/Remote violence,9
Central African Republic,9.8022,22.4016,Riots,8
Central African Republic,9.8022,22.4016,Violence against civilians,190
Chad,8.3,16.4621,Riots,12
Chad,8.3,16.4621,Violence against civilians,32
Chad,8.7112,17.5787,Explosions/Remote violence,1
Chad,8.7112,17.5787,Riots,6
Chad,8.7112,17.5787,Violence against civilians,8
Chad,8.7691,15.9364,Riots,16
Chad,8.7691,15.9364,Violence against civilians,24
Chad,9.2323,14.8601,Riots,5
Chad,9.2323,14.8601,Violence against civilians,25
Chad,9.3213,18.8631,Riots,9
Chad,9.3213,18.8631,Violence against civilians,11
Chad,9.6484,16.6525,Riots,5
Chad,9.6484,16.6525,Violence against civilians,6
Chad,10.2098,15.8059,Explosions/Remote violence,1
Chad,10.2098,15.8059,Riots,5
Chad,10.2098,15.8059,Violence against civilians,7
Chad,10.6118,20.7096,Explosions/Remote violence,1
Chad,10.6118,20.7096,Riots,3
Chad,10.6118,20.7096,Violence against civilians,13
Chad,11.1026,16.3757,Riots,1
Chad,11.1026,16.3757,Violence against civilians,11
Chad,11.4606,18.1047,Riots,1
Chad,11.4606,18.1047,Violence against civilians,12
Chad,11.996,21.4824,Explosions/Remote violence,5
Chad,11.996,21.4824,Riots,4
Chad,11.996,21.4824,Violence against civilians,43
Chad,12.1523,15.0196,Explosions/Remote violence,6
Chad,12.1523,15.0196,Riots,75
Chad,12.1523,15.0196,Violence against civilians,77
Chad,12.4213,15.4845,Explosions/Remote violence,3
Chad,12.4213,15.4845,Riots,2
Chad,12.4213,15.4845,Violence against civilians,14
Chad,13.5147,21.2678,Explosions/Remote violence,2
Chad,13.5147,21.2678,Riots,15
Chad,13.5147,21.2678,Violence against civilians,112
Chad,13.7534,14.1757,Explosions/Remote violence,31
Chad,13.7534,14.1757,Riots,2
Chad,13.7534,14.1757,Violence against civilians,97
Chad,14.4504,18.9154,Riots,4
Chad,14.4504,18.9154,Violence against civilians,2
Chad,14.6819,16.9986,Explosions/Remote violence,1
Chad,14.6819,16.9986,Violence against civilians,1
Chad,14.9451,21.4027,Explosions/Remote violence,11
Chad,14.9451,21.4027,Riots,1
Chad,14.9451,21.4027,Violence against civilians,22
Chad,14.9824,15.0332,Explosions/Remote violence,1
Chad,14.9824,15.0332,Riots,5
Chad,14.9824,15.0332,Violence against civilians,5
Chad,17.4347,23.1751,Explosions/Remote violence,7
Chad,17.4744,18.1475,Explosions/Remote violence,2
Chad,17.4744,18.1475,Riots,2
Chad,17.4744,18.1475,Violence against civilians,5
Chad,18.3366,20.9188,Violence against civilians,1
Chad,20.2226,18.2624,Explosions/Remote violence,19
Chad,20.2226,18.2624,Riots,4
Chad,20.2226,18.2624,Violence against civilians,13
Comoros,-12.3252,43.7309,Riots,3
Comoros,-12.3252,43.7309,Violence against civilians,3
Comoros,-12.214,44.4377,Riots,8
Comoros,-12.214,44.4377,Violence against civilians,2
Comoros,-11.7184,43.3604,Riots,11
Comoros,-11.7184,43.3604,Violence against civilians,2
Comoros,11.6296,43.3341,Riots,19
Comoros,11.6296,43.3341,Violence against civilians,11
Comoros,12.2242,44.4461,Explosions/Remote violence,2
Comoros,12.2242,44.4461,Riots,11
Comoros,12.2242,44.4461,Violence against civilians,7
Democratic Republic of Congo,-10.5155,27.6201,Explosions/Remote violence,7
Democratic Republic of Congo,-10.5155,27.6201,Riots,161
Democratic Republic of Congo,-10.5155,27.6201,Violence against civilians,196
Democratic Republic of Congo,-9.6828,22.9987,Riots,47
Democratic Republic of Congo,-9.6828,22.9987,Violence against civilians,25
Democratic Republic of Congo,-8.09,25.6206,Explosions/Remote violence,1
Democratic Republic of Congo,-8.09,25.6206,Riots,20
Democratic Republic of Congo,-8.09,25.6206,Violence against civilians,38
Democratic Republic of Congo,-6.7163,27.9695,Explosions/Remote violence,8
Democratic Republic of Congo,-6.7163,27.9695,Riots,65
Democratic Republic of Congo,-6.7163,27.9695,Violence against civilians,268
Democratic Republic of Congo,-6.4042,24.6415,Explosions/Remote violence,3
Democratic Republic of Congo,-6.4042,24.6415,Riots,42
Democratic Republic of Congo,-6.4042,24.6415,Violence against civilians,20
Democratic Republic of Congo,-6.2108,17.7707,Riots,4
Democratic Republic of Congo,-6.2108,17.7707,Violence against civilians,30
Democratic Republic of Congo,-6.2105,23.5515,Riots,107
Democratic Republic of Congo,-6.2105,23.5515,Violence against civilians,34
Democratic Republic of Congo,-6.066,22.2643,Explosions/Remote violence,4
Democratic Republic of Congo,-6.066,22.2643,Riots,63
Democratic Republic of Congo,-6.066,22.2643,Violence against civilians,84
Democratic Republic of Congo,-5.1431,14.3853,Explosions/Remote violence,3
Democratic Republic of Congo,-5.1431,14.3853,Riots,69
Democratic Republic of Congo,-5.1431,14.3853,Violence against civilians,59
Democratic Republic of Congo,-4.8941,21.118,Explosions/Remote violence,2
Democratic Republic of Congo,-4.8941,21.118,Riots,27
Democratic Republic of Congo,-4.8941,21.118,Violence against civilians,58
Democratic Republic of Congo,-4.8097,18.8047,Riots,54
Democratic Republic of Congo,-4.8097,18.8047,Violence against civilians,29
Democratic Republic of Congo,-4.4792,15.7833,Explosions/Remote violence,9
Democratic Republic of Congo,-4.4792,15.7833,Riots,258
Democratic Republic of Congo,-4.4792,15.7833,Violence against civilians,188
Democratic Republic of Congo,-3.7708,23.4592,Riots,26
Democratic Republic of Congo,-3.7708,23.4592,Violence against civilians,25
Democratic Republic of Congo,-3.297,28.1671,Explosions/Remote violence,82
Democratic Republic of Congo,-3.297,28.1671,Riots,484
Democratic Republic of Congo,-3.297,28.1671,Violence against civilians,1950
Democratic Republic of Congo,-2.5584,18.6028,Explosions/Remote violence,2
Democratic Republic of Congo,-2.5584,18.6028,Riots,9
Democratic Republic of Congo,-2.5584,18.6028,Violence against civilians,78
Democratic Republic of Congo,-2.4982,25.9526,Explosions/Remote violence,2
Democratic Republic of Congo,-2.4982,25.9526,Riots,41
Democratic Republic of Congo,-2.4982,25.9526,Violence against civilians,120
Democratic Republic of Congo,-0.5508,28.7185,Explosions/Remote violence,476
Democratic Republic of Congo,-0.5508,28.7185,Riots,786
Democratic Republic of Congo,-0.5508,28.7185,Violence against civilians,5140
Democratic Republic of Congo,-0.4525,21.6909,Explosions/Remote violence,6
Democratic Republic of Congo,-0.4525,21.6909,Riots,6
Democratic Republic of Congo,-0.4525,21.6909,Violence against civilians,14
Democratic Republic of Congo,0.0627,19.1409,Explosions/Remote violence,5
Democratic Republic of Congo,0.0627,19.1409,Riots,42
Democratic Republic of Congo,0.0627,19.1409,Violence against civilians,21
Democratic Republic of Congo,0.2052,25.633,Explosions/Remote violence,4
Democratic Republic of Congo,0.2052,25.633,Riots,93
Democratic Republic of Congo,0.2052,25.633,Violence against civilians,114
Democratic Republic of Congo,2.0294,21.176,Explosions/Remote violence,1
Democratic Republic of Congo,2.0294,21.176,Riots,5
Democratic Republic of Congo,2.0294,21.176,Violence against civilians,9
Democratic Republic of Congo,2.1295,29.0513,Explosions/Remote violence,90
Democratic Republic of Congo,2.1295,29.0513,Riots,226
Democratic Republic of Congo,2.1295,29.0513,Violence against civilians,2518
Democratic Republic of Congo,3.3289,19.4628,Explosions/Remote violence,12
Democratic Republic of Congo,3.3289,19.4628,Riots,21
Democratic Republic of Congo,3.3289,19.4628,Violence against civilians,33
Democratic Republic of Congo,3.3372,28.7895,Riots,47
Democratic Republic of Congo,3.3372,28.7895,Violence against civilians,595
Democratic Republic of Congo,3.665,25.3771,Explosions/Remote violence,2
Democratic Republic of Congo,3.665,25.3771,Riots,23
Democratic Republic of Congo,3.665,25.3771,Violence against civilians,263
Democratic Republic of Congo,4.0187,21.3025,Explosions/Remote violence,5
Democratic Republic of Congo,4.0187,21.3025,Riots,12
Democratic Republic of Congo,4.0187,21.3025,Violence against civilians,12
Djibouti,11.1813,42.872,Explosions/Remote violence,3
Djibouti,11.1813,42.872,Violence against civilians,4
