WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
10/10/2020,Israel,Riots,2,30.6783,34.8831
10/24/2020,Israel,Riots,1,30.6783,34.8831
10/31/2020,Israel,Riots,1,30.6783,34.8831
01/09/2021,Israel,Riots,1,30.6783,34.8831
01/23/2021,Israel,Riots,1,30.6783,34.8831
02/27/2021,Israel,Riots,1,30.6783,34.8831
04/03/2021,Israel,Riots,1,30.6783,34.8831
05/08/2021,Israel,Riots,7,30.6783,34.8831
05/15/2021,Israel,Riots,1,30.6783,34.8831
05/29/2021,Israel,Riots,1,30.6783,34.8831
07/17/2021,Israel,Riots,1,30.6783,34.8831
10/30/2021,Israel,Riots,1,30.6783,34.8831
11/27/2021,Israel,Riots,1,30.6783,34.8831
12/18/2021,Israel,Riots,1,30.6783,34.8831
01/01/2022,Israel,Riots,3,30.6783,34.8831
01/08/2022,Israel,Riots,6,30.6783,34.8831
02/19/2022,Israel,Riots,1,30.6783,34.8831
03/12/2022,Israel,Riots,3,30.6783,34.8831
04/30/2022,Israel,Riots,1,30.6783,34.8831
07/09/2022,Israel,Riots,1,30.6783,34.8831
10/29/2022,Israel,Riots,1,30.6783,34.8831
11/05/2022,Israel,Riots,1,30.6783,34.8831
02/04/2023,Israel,Riots,1,30.6783,34.8831
02/18/2023,Israel,Riots,1,30.6783,34.8831
05/13/2023,Israel,Riots,1,30.6783,34.8831
01/27/2024,Israel,Riots,1,30.6783,34.8831
05/25/2024,Israel,Riots,1,30.6783,34.8831
08/03/2024,Israel,Riots,1,30.6783,34.8831
08/10/2024,Israel,Riots,1,30.6783,34.8831
02/08/2025,Israel,Riots,1,30.6783,34.8831
04/26/2025,Israel,Riots,1,30.6783,34.8831
02/06/2016,Israel,Riots,1,30.6783,34.8831
08/06/2016,Israel,Riots,1,30.6783,34.8831
12/10/2016,Israel,Riots,1,30.6783,34.8831
01/14/2017,Israel,Riots,1,30.6783,34.8831
03/24/2018,Israel,Riots,1,30.6783,34.8831
03/31/2018,Israel,Riots,1,30.6783,34.8831
05/19/2018,Israel,Riots,1,30.6783,34.8831
11/03/2018,Israel,Riots,1,30.6783,34.8831
11/10/2018,Israel,Riots,4,30.6783,34.8831
12/08/2018,Israel,Riots,1,30.6783,34.8831
03/30/2019,Israel,Riots,1,30.6783,34.8831
06/29/2019,Israel,Riots,2,30.6783,34.8831
02/08/2020,Israel,Riots,1,30.6783,34.8831
05/08/2021,Israel,Riots,2,30.6783,34.8831
07/24/2021,Israel,Riots,2,30.6783,34.8831
09/04/2021,Israel,Riots,2,30.6783,34.8831
10/16/2021,Israel,Riots,2,30.6783,34.8831
12/25/2021,Israel,Riots,1,30.6783,34.8831
01/08/2022,Israel,Riots,5,30.6783,34.8831
03/19/2022,Israel,Riots,1,30.6783,34.8831
06/11/2022,Israel,Riots,1,30.6783,34.8831
07/30/2022,Israel,Riots,1,30.6783,34.8831
03/18/2023,Israel,Riots,1,30.6783,34.8831
04/22/2023,Israel,Riots,1,30.6783,34.8831
07/22/2023,Israel,Riots,1,30.6783,34.8831
01/27/2024,Israel,Riots,2,30.6783,34.8831
02/03/2024,Israel,Riots,3,30.6783,34.8831
02/17/2024,Israel,Riots,1,30.6783,34.8831
02/24/2024,Israel,Riots,1,30.6783,34.8831
03/23/2024,Israel,Riots,1,30.6783,34.8831
05/04/2024,Israel,Riots,1,30.6783,34.8831
05/11/2024,Israel,Riots,2,30.6783,34.8831
07/27/2024,Israel,Riots,1,30.6783,34.8831
05/03/2025,Israel,Riots,1,30.6783,34.8831
08/02/2025,Israel,Riots,2,30.6783,34.8831
09/13/2025,Israel,Riots,1,30.6783,34.8831
10/07/2023,Israel,Violence against civilians,12,30.6783,34.8831
02/06/2016,Israel,Violence against civilians,1,30.6783,34.8831
04/09/2016,Israel,Violence against civilians,1,30.6783,34.8831
04/16/2016,Israel,Violence against civilians,1,30.6783,34.8831
10/22/2016,Israel,Violence against civilians,1,30.6783,34.8831
12/31/2016,Israel,Violence against civilians,1,30.6783,34.8831
01/28/2017,Israel,Violence against civilians,1,30.6783,34.8831
06/10/2017,Israel,Violence against civilians,1,30.6783,34.8831
08/04/2018,Israel,Violence against civilians,1,30.6783,34.8831
11/03/2018,Israel,Violence against civilians,1,30.6783,34.8831
12/15/2018,Israel,Violence against civilians,1,30.6783,34.8831
03/23/2019,Israel,Violence against civilians,2,30.6783,34.8831
10/19/2019,Israel,Violence against civilians,1,30.6783,34.8831
04/11/2020,Israel,Violence against civilians,1,30.6783,34.8831
05/08/2021,Israel,Violence against civilians,1,30.6783,34.8831
05/29/2021,Israel,Violence against civilians,1,30.6783,34.8831
07/24/2021,Israel,Violence against civilians,1,30.6783,34.8831
08/07/2021,Israel,Violence against civilians,1,30.6783,34.8831
12/25/2021,Israel,Violence against civilians,2,30.6783,34.8831
01/01/2022,Israel,Violence against civilians,1,30.6783,34.8831
03/19/2022,Israel,Violence against civilians,3,30.6783,34.8831
04/02/2022,Israel,Violence against civilians,2,30.6783,34.8831
04/16/2022,Israel,Violence against civilians,1,30.6783,34.8831
05/28/2022,Israel,Violence against civilians,1,30.6783,34.8831
10/22/2022,Israel,Violence against civilians,1,30.6783,34.8831
11/12/2022,Israel,Violence against civilians,1,30.6783,34.8831
11/19/2022,Israel,Violence against civilians,1,30.6783,34.8831
11/26/2022,Israel,Violence against civilians,1,30.6783,34.8831
12/17/2022,Israel,Violence against civilians,1,30.6783,34.8831
04/22/2023,Israel,Violence against civilians,2,30.6783,34.8831
10/07/2023,Israel,Violence against civilians,40,30.6783,34.8831
11/18/2023,Israel,Violence against civilians,1,30.6783,34.8831
09/21/2024,Israel,Violence against civilians,1,30.6783,34.8831
10/05/2024,Israel,Violence against civilians,1,30.6783,34.8831
03/08/2025,Israel,Violence against civilians,1,30.6783,34.8831
07/27/2024,Israel,Violence against civilians,1,30.6783,34.8831
10/26/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
11/02/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
12/07/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
06/22/2024,Israel,Explosions/Remote violence,2,32.085,34.9167
12/16/2017,Israel,Explosions/Remote violence,1,32.085,34.9167
03/23/2019,Israel,Explosions/Remote violence,1,32.085,34.9167
11/09/2019,Israel,Explosions/Remote violence,1,32.085,34.9167
04/25/2020,Israel,Explosions/Remote violence,1,32.085,34.9167
05/08/2021,Israel,Explosions/Remote violence,9,32.085,34.9167
05/15/2021,Israel,Explosions/Remote violence,4,32.085,34.9167
05/06/2023,Israel,Explosions/Remote violence,3,32.085,34.9167
05/13/2023,Israel,Explosions/Remote violence,1,32.085,34.9167
10/07/2023,Israel,Explosions/Remote violence,20,32.085,34.9167
10/14/2023,Israel,Explosions/Remote violence,9,32.085,34.9167
10/21/2023,Israel,Explosions/Remote violence,11,32.085,34.9167
10/28/2023,Israel,Explosions/Remote violence,14,32.085,34.9167
11/04/2023,Israel,Explosions/Remote violence,11,32.085,34.9167
11/11/2023,Israel,Explosions/Remote violence,4,32.085,34.9167
11/18/2023,Israel,Explosions/Remote violence,1,32.085,34.9167
12/09/2023,Israel,Explosions/Remote violence,2,32.085,34.9167
12/16/2023,Israel,Explosions/Remote violence,7,32.085,34.9167
12/30/2023,Israel,Explosions/Remote violence,3,32.085,34.9167
01/06/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
01/27/2024,Israel,Explosions/Remote violence,3,32.085,34.9167
05/25/2024,Israel,Explosions/Remote violence,4,32.085,34.9167
08/03/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
08/24/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
09/14/2024,Israel,Explosions/Remote violence,3,32.085,34.9167
09/28/2024,Israel,Explosions/Remote violence,5,32.085,34.9167
10/05/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
10/12/2024,Israel,Explosions/Remote violence,4,32.085,34.9167
10/19/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
11/02/2024,Israel,Explosions/Remote violence,6,32.085,34.9167
11/09/2024,Israel,Explosions/Remote violence,2,32.085,34.9167
11/16/2024,Israel,Explosions/Remote violence,3,32.085,34.9167
11/23/2024,Israel,Explosions/Remote violence,3,32.085,34.9167
12/14/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
12/21/2024,Israel,Explosions/Remote violence,1,32.085,34.9167
