,COUNTRY,EVENT_TYPE,CENTROID_LATITUDE,CENTROID_LONGITUDE
2157,Armenia,Explosions/Remote violence,40.9719,45.155
2158,Armenia,Explosions/Remote violence,40.9719,45.155
2159,Armenia,Explosions/Remote violence,40.9719,45.155
2160,Armenia,Explosions/Remote violence,40.9719,45.155
2161,Armenia,Explosions/Remote violence,40.9719,45.155
2162,Armenia,Explosions/Remote violence,40.9719,45.155
2163,Armenia,Explosions/Remote violence,40.9719,45.155
2164,Armenia,Explosions/Remote violence,40.9719,45.155
2165,Armenia,Explosions/Remote violence,40.9719,45.155
2166,Armenia,Explosions/Remote violence,40.9719,45.155
2167,Armenia,Explosions/Remote violence,40.9719,45.155
2168,Armenia,Explosions/Remote violence,40.9719,45.155
2169,Armenia,Explosions/Remote violence,40.9719,45.155
2170,Armenia,Explosions/Remote violence,40.9719,45.155
2171,Armenia,Explosions/Remote violence,40.9719,45.155
2172,Armenia,Explosions/Remote violence,40.9719,45.155
2173,Armenia,Explosions/Remote violence,40.9719,45.155
2174,Armenia,Explosions/Remote violence,40.9719,45.155
2175,Armenia,Explosions/Remote violence,40.9719,45.155
2176,Armenia,Explosions/Remote violence,40.9719,45.155
2177,Armenia,Explosions/Remote violence,40.9719,45.155
2178,Armenia,Explosions/Remote violence,40.9719,45.155
2179,Armenia,Explosions/Remote violence,40.9719,45.155
2180,Armenia,Explosions/Remote violence,40.9719,45.155
2181,Armenia,Explosions/Remote violence,40.9719,45.155
2223,Armenia,Riots,40.9719,45.155
2224,Armenia,Riots,40.9719,45.155
2225,Armenia,Riots,40.9719,45.155
2230,Armenia,Violence against civilians,40.9719,45.155
2231,Armenia,Violence against civilians,40.9719,45.155
2232,Armenia,Violence against civilians,40.9719,45.155
2233,Armenia,Violence against civilians,40.9719,45.155
2362,Armenia,Explosions/Remote violence,39.7515,45.4249
2363,Armenia,Explosions/Remote violence,39.7515,45.4249
2364,Armenia,Explosions/Remote violence,39.7515,45.4249
2365,Armenia,Explosions/Remote violence,39.7515,45.4249
2366,Armenia,Explosions/Remote violence,39.7515,45.4249
2367,Armenia,Explosions/Remote violence,39.7515,45.4249
2368,Armenia,Explosions/Remote violence,39.7515,45.4249
2369,Armenia,Explosions/Remote violence,39.7515,45.4249
2370,Armenia,Explosions/Remote violence,39.7515,45.4249
2371,Armenia,Explosions/Remote violence,39.7515,45.4249
2372,Armenia,Explosions/Remote violence,39.7515,45.4249
2373,Armenia,Explosions/Remote violence,39.7515,45.4249
2374,Armenia,Explosions/Remote violence,39.7515,45.4249
2375,Armenia,Explosions/Remote violence,39.7515,45.4249
2376,Armenia,Explosions/Remote violence,39.7515,45.4249
2377,Armenia,Explosions/Remote violence,39.7515,45.4249
2378,Armenia,Explosions/Remote violence,39.7515,45.4249
2379,Armenia,Explosions/Remote violence,39.7515,45.4249
2380,Armenia,Explosions/Remote violence,39.7515,45.4249
2381,Armenia,Explosions/Remote violence,39.7515,45.4249
2382,Armenia,Explosions/Remote violence,39.7515,45.4249
2383,Armenia,Explosions/Remote violence,39.7515,45.4249
2384,Armenia,Explosions/Remote violence,39.7515,45.4249
2385,Armenia,Explosions/Remote violence,39.7515,45.4249
2386,Armenia,Explosions/Remote violence,39.7515,45.4249
2387,Armenia,Explosions/Remote violence,39.7515,45.4249
2388,Armenia,Explosions/Remote violence,39.7515,45.4249
2389,Armenia,Explosions/Remote violence,39.7515,45.4249
2413,Armenia,Riots,39.7515,45.4249
2414,Armenia,Riots,39.7515,45.4249
2415,Armenia,Riots,39.7515,45.4249
2416,Armenia,Riots,39.7515,45.4249
2417,Armenia,Riots,39.7515,45.4249
2418,Armenia,Riots,39.7515,45.4249
2421,Armenia,Violence against civilians,39.7515,45.4249
2422,Armenia,Violence against civilians,39.7515,45.4249
2906,Armenia,Riots,40.167,44.5319
2907,Armenia,Riots,40.167,44.5319
2908,Armenia,Riots,40.167,44.5319
2909,Armenia,Riots,40.167,44.5319
2910,Armenia,Riots,40.167,44.5319
2911,Armenia,Riots,40.167,44.5319
2912,Armenia,Riots,40.167,44.5319
2913,Armenia,Riots,40.167,44.5319
2914,Armenia,Riots,40.167,44.5319
2915,Armenia,Riots,40.167,44.5319
2916,Armenia,Riots,40.167,44.5319
2917,Armenia,Riots,40.167,44.5319
2918,Armenia,Riots,40.167,44.5319
2919,Armenia,Riots,40.167,44.5319
2920,Armenia,Riots,40.167,44.5319
2921,Armenia,Riots,40.167,44.5319
2922,Armenia,Riots,40.167,44.5319
2923,Armenia,Riots,40.167,44.5319
2924,Armenia,Riots,40.167,44.5319
2925,Armenia,Riots,40.167,44.5319
2926,Armenia,Riots,40.167,44.5319
2927,Armenia,Riots,40.167,44.5319
2928,Armenia,Riots,40.167,44.5319
2929,Armenia,Riots,40.167,44.5319
2930,Armenia,Riots,40.167,44.5319
2931,Armenia,Riots,40.167,44.5319
2932,Armenia,Riots,40.167,44.5319
2933,Armenia,Riots,40.167,44.5319
2934,Armenia,Riots,40.167,44.5319
2935,Armenia,Riots,40.167,44.5319
2936,Armenia,Riots,40.167,44.5319
2937,Armenia,Riots,40.167,44.5319
2938,Armenia,Riots,40.167,44.5319
2939,Armenia,Riots,40.167,44.5319
2940,Armenia,Riots,40.167,44.5319
2941,Armenia,Riots,40.167,44.5319
2942,Armenia,Riots,40.167,44.5319
2943,Armenia,Riots,40.167,44.5319
2944,Armenia,Riots,40.167,44.5319
2945,Armenia,Riots,40.167,44.5319
2946,Armenia,Riots,40.167,44.5319
2947,Armenia,Riots,40.167,44.5319
2972,Armenia,Violence against civilians,40.167,44.5319
2973,Armenia,Violence against civilians,40.167,44.5319
2974,Armenia,Violence against civilians,40.167,44.5319
2975,Armenia,Violence against civilians,40.167,44.5319
2976,Armenia,Violence against civilians,40.167,44.5319
2977,Armenia,Violence against civilians,40.167,44.5319
2978,Armenia,Violence against civilians,40.167,44.5319
3083,Austria,Violence against civilians,46.752,13.9392
3211,Austria,Riots,48.2216,15.5766
3212,Austria,Riots,48.2216,15.5766
3213,Austria,Riots,48.2216,15.5766
3216,Austria,Violence against civilians,48.2216,15.5766
3365,Austria,Riots,48.1173,13.6236
3366,Austria,Riots,48.1173,13.6236
3367,Austria,Riots,48.1173,13.6236
3368,Austria,Riots,48.1173,13.6236
3489,Austria,Riots,47.4927,13.2929
3613,Austria,Riots,47.22,14.9755
3614,Austria,Riots,47.22,14.9755
3617,Austria,Violence against civilians,47.22,14.9755
3618,Austria,Violence against civilians,47.22,14.9755
3749,Austria,Riots,47.2529,11.1632
3750,Austria,Riots,47.2529,11.1632
3751,Austria,Riots,47.2529,11.1632
3840,Austria,Riots,47.2187,9.8914
3841,Austria,Riots,47.2187,9.8914
4158,Austria,Riots,48.2209,16.3725
4159,Austria,Riots,48.2209,16.3725
4160,Austria,Riots,48.2209,16.3725
4161,Austria,Riots,48.2209,16.3725
4162,Austria,Riots,48.2209,16.3725
4163,Austria,Riots,48.2209,16.3725
4164,Austria,Riots,48.2209,16.3725
4165,Austria,Riots,48.2209,16.3725
4166,Austria,Riots,48.2209,16.3725
4167,Austria,Riots,48.2209,16.3725
4168,Austria,Riots,48.2209,16.3725
4169,Austria,Riots,48.2209,16.3725
4170,Austria,Riots,48.2209,16.3725
4171,Austria,Riots,48.2209,16.3725
4172,Austria,Riots,48.2209,16.3725
4173,Austria,Riots,48.2209,16.3725
4174,Austria,Riots,48.2209,16.3725
4175,Austria,Riots,48.2209,16.3725
4176,Austria,Riots,48.2209,16.3725
4177,Austria,Riots,48.2209,16.3725
4178,Austria,Riots,48.2209,16.3725
4179,Austria,Riots,48.2209,16.3725
4180,Austria,Riots,48.2209,16.3725
4181,Austria,Riots,48.2209,16.3725
4182,Austria,Riots,48.2209,16.3725
4183,Austria,Riots,48.2209,16.3725
4184,Austria,Riots,48.2209,16.3725
4185,Austria,Riots,48.2209,16.3725
4186,Austria,Riots,48.2209,16.3725
4187,Austria,Riots,48.2209,16.3725
4188,Austria,Riots,48.2209,16.3725
4189,Austria,Riots,48.2209,16.3725
4190,Austria,Riots,48.2209,16.3725
4191,Austria,Riots,48.2209,16.3725
4192,Austria,Riots,48.2209,16.3725
4215,Austria,Violence against civilians,48.2209,16.3725
4216,Austria,Violence against civilians,48.2209,16.3725
4217,Austria,Violence against civilians,48.2209,16.3725
4218,Austria,Violence against civilians,48.2209,16.3725
4219,Austria,Violence against civilians,48.2209,16.3725
4220,Austria,Violence against civilians,48.2209,16.3725
4221,Azerbaijan,Explosions/Remote violence,40.3229,49.2148
4226,Azerbaijan,Riots,40.3229,49.2148
4402,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4403,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4404,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4405,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4406,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4407,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4408,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4409,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4410,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4411,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4412,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4413,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4414,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4415,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4416,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4417,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4418,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4419,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4420,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4421,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
4422,Azerbaijan,Explosions/Remote violence,40.0304,46.9274
