REGION,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,POPULATION_EXPOSURE,DISORDER_TYPE
North America,Protests,Peaceful protest,1,8603.0,Demonstrations
North America,Protests,Peaceful protest,1,2529.0,Demonstrations
North America,Protests,Peaceful protest,1,3773.0,Demonstrations
North America,Protests,Peaceful protest,2,4922.0,Demonstrations
North America,Protests,Peaceful protest,2,8695.0,Demonstrations
North America,Protests,Peaceful protest,2,6131.0,Demonstrations
North America,Protests,Peaceful protest,2,5082.0,Demonstrations
North America,Protests,Peaceful protest,2,6925.0,Demonstrations
North America,Protests,Peaceful protest,1,2529.0,Demonstrations
North America,Protests,Peaceful protest,6,19867.0,Demonstrations
North America,Protests,Peaceful protest,1,4922.0,Demonstrations
North America,Protests,Peaceful protest,2,9425.0,Demonstrations
North America,Protests,Peaceful protest,1,2553.0,Demonstrations
North America,Protests,Peaceful protest,2,6302.0,Demonstrations
North America,Protests,Peaceful protest,1,2529.0,Demonstrations
North America,Protests,Peaceful protest,3,10102.0,Demonstrations
North America,Protests,Peaceful protest,1,4922.0,Demonstrations
North America,Protests,Peaceful protest,2,6131.0,Demonstrations
North America,Protests,Peaceful protest,3,10009.0,Demonstrations
North America,Protests,Peaceful protest,1,2529.0,Demonstrations
North America,Protests,Peaceful protest,1,4922.0,Demonstrations
North America,Protests,Peaceful protest,4,12362.0,Demonstrations
North America,Protests,Peaceful protest,4,11347.0,Demonstrations
North America,Protests,Peaceful protest,6,22148.0,Demonstrations
North America,Protests,Peaceful protest,6,20965.0,Demonstrations
North America,Protests,Peaceful protest,4,11840.0,Demonstrations
North America,Protests,Peaceful protest,3,7451.0,Demonstrations
North America,Protests,Peaceful protest,5,19280.0,Demonstrations
North America,Protests,Peaceful protest,4,12125.0,Demonstrations
North America,Protests,Peaceful protest,9,20094.0,Demonstrations
North America,Protests,Peaceful protest,6,17530.0,Demonstrations
North America,Protests,Peaceful protest,11,36427.0,Demonstrations
North America,Protests,Peaceful protest,4,17298.0,Demonstrations
North America,Protests,Peaceful protest,7,28422.0,Demonstrations
North America,Protests,Peaceful protest,10,25587.0,Demonstrations
North America,Protests,Peaceful protest,3,14965.0,Demonstrations
North America,Protests,Peaceful protest,4,16108.0,Demonstrations
North America,Protests,Peaceful protest,1,2327.0,Demonstrations
North America,Protests,Peaceful protest,3,6590.0,Demonstrations
North America,Protests,Peaceful protest,3,7334.0,Demonstrations
North America,Protests,Peaceful protest,24,74742.0,Demonstrations
North America,Protests,Peaceful protest,3,9283.0,Demonstrations
North America,Protests,Peaceful protest,7,17451.0,Demonstrations
North America,Protests,Peaceful protest,1,4922.0,Demonstrations
North America,Protests,Peaceful protest,18,41881.0,Demonstrations
North America,Protests,Peaceful protest,6,26002.0,Demonstrations
North America,Protests,Peaceful protest,4,13892.0,Demonstrations
North America,Protests,Peaceful protest,5,10004.0,Demonstrations
North America,Protests,Peaceful protest,3,8066.0,Demonstrations
North America,Protests,Peaceful protest,4,16443.0,Demonstrations
North America,Protests,Peaceful protest,5,8810.0,Demonstrations
North America,Protests,Peaceful protest,13,38270.0,Demonstrations
North America,Protests,Peaceful protest,4,13132.0,Demonstrations
North America,Protests,Peaceful protest,2,13525.0,Demonstrations
North America,Protests,Peaceful protest,1,2553.0,Demonstrations
North America,Protests,Peaceful protest,4,7816.0,Demonstrations
North America,Protests,Peaceful protest,7,24378.0,Demonstrations
North America,Protests,Peaceful protest,5,20302.0,Demonstrations
North America,Protests,Protest with intervention,1,4481.0,Demonstrations
North America,Protests,Protest with intervention,1,2303.0,Demonstrations
North America,Protests,Protest with intervention,6,17135.0,Demonstrations
North America,Protests,Protest with intervention,1,2147.0,Demonstrations
North America,Protests,Protest with intervention,2,3370.0,Demonstrations
North America,Protests,Protest with intervention,1,3754.0,Demonstrations
North America,Protests,Protest with intervention,1,8560.0,Demonstrations
North America,Protests,Protest with intervention,1,3773.0,Demonstrations
North America,Protests,Protest with intervention,1,4922.0,Demonstrations
North America,Protests,Protest with intervention,1,4922.0,Demonstrations
North America,Protests,Protest with intervention,1,3773.0,Demonstrations
North America,Protests,Protest with intervention,2,8695.0,Demonstrations
North America,Protests,Protest with intervention,3,13438.0,Demonstrations
North America,Protests,Protest with intervention,1,2754.0,Demonstrations
North America,Riots,Mob violence,2,10245.0,Political violence
North America,Riots,Violent demonstration,2,23924.0,Demonstrations
North America,Riots,Violent demonstration,6,48614.0,Demonstrations
North America,Riots,Violent demonstration,2,13720.0,Demonstrations
North America,Riots,Violent demonstration,1,25914.0,Demonstrations
North America,Violence against civilians,Attack,1,70121.0,Political violence
North America,Violence against civilians,Attack,1,28466.0,Political violence
North America,Violence against civilians,Attack,1,11209.0,Political violence
North America,Violence against civilians,Sexual violence,1,9633.0,Political violence
North America,Violence against civilians,Sexual violence,1,28466.0,Political violence
North America,Protests,Excessive force against protesters,1,11081.0,Political violence; Demonstrations
North America,Protests,Excessive force against protesters,1,11081.0,Political violence; Demonstrations
North America,Protests,Excessive force against protesters,1,1128.0,Political violence; Demonstrations
North America,Protests,Peaceful protest,4,20107.0,Demonstrations
North America,Protests,Peaceful protest,1,4663.0,Demonstrations
North America,Protests,Peaceful protest,4,17732.0,Demonstrations
North America,Protests,Peaceful protest,6,18896.0,Demonstrations
North America,Protests,Peaceful protest,3,7958.0,Demonstrations
North America,Protests,Peaceful protest,2,2343.0,Demonstrations
North America,Protests,Peaceful protest,1,4663.0,Demonstrations
North America,Protests,Peaceful protest,2,8299.0,Demonstrations
North America,Protests,Peaceful protest,1,1318.0,Demonstrations
North America,Protests,Peaceful protest,1,4663.0,Demonstrations
North America,Protests,Peaceful protest,5,10911.0,Demonstrations
North America,Protests,Peaceful protest,49,75212.0,Demonstrations
North America,Protests,Peaceful protest,23,47011.0,Demonstrations
North America,Protests,Peaceful protest,17,25647.0,Demonstrations
North America,Protests,Peaceful protest,4,8954.0,Demonstrations
North America,Protests,Peaceful protest,7,11315.0,Demonstrations
North America,Protests,Peaceful protest,7,24351.0,Demonstrations
North America,Protests,Peaceful protest,4,7006.0,Demonstrations
North America,Protests,Peaceful protest,7,9773.0,Demonstrations
North America,Protests,Peaceful protest,3,6077.0,Demonstrations
North America,Protests,Peaceful protest,3,4663.0,Demonstrations
North America,Protests,Peaceful protest,5,19498.0,Demonstrations
North America,Protests,Peaceful protest,14,24441.0,Demonstrations
North America,Protests,Peaceful protest,6,17910.0,Demonstrations
North America,Protests,Peaceful protest,3,10241.0,Demonstrations
North America,Protests,Peaceful protest,5,16870.0,Demonstrations
North America,Protests,Peaceful protest,6,12845.0,Demonstrations
North America,Protests,Peaceful protest,5,8054.0,Demonstrations
North America,Protests,Peaceful protest,5,9234.0,Demonstrations
North America,Protests,Peaceful protest,5,19380.0,Demonstrations
North America,Protests,Peaceful protest,2,3477.0,Demonstrations
North America,Protests,Peaceful protest,1,1511.0,Demonstrations
North America,Protests,Peaceful protest,3,16776.0,Demonstrations
North America,Protests,Peaceful protest,2,4663.0,Demonstrations
North America,Protests,Peaceful protest,1,5857.0,Demonstrations
North America,Protests,Peaceful protest,1,4663.0,Demonstrations
North America,Protests,Peaceful protest,2,7519.0,Demonstrations
North America,Protests,Peaceful protest,1,5077.0,Demonstrations
North America,Protests,Peaceful protest,2,5094.0,Demonstrations
North America,Protests,Peaceful protest,4,14247.0,Demonstrations
North America,Protests,Peaceful protest,1,5077.0,Demonstrations
North America,Protests,Peaceful protest,1,1124.0,Demonstrations
North America,Protests,Peaceful protest,2,14507.0,Demonstrations
North America,Protests,Peaceful protest,1,6377.0,Demonstrations
North America,Protests,Peaceful protest,3,19584.0,Demonstrations
North America,Protests,Peaceful protest,2,12065.0,Demonstrations
North America,Protests,Peaceful protest,4,9793.0,Demonstrations
North America,Protests,Peaceful protest,3,7386.0,Demonstrations
North America,Protests,Peaceful protest,2,6201.0,Demonstrations
North America,Protests,Peaceful protest,2,8847.0,Demonstrations
North America,Protests,Peaceful protest,1,5077.0,Demonstrations
North America,Protests,Peaceful protest,4,22036.0,Demonstrations
North America,Protests,Peaceful protest,2,5077.0,Demonstrations
North America,Protests,Peaceful protest,3,16041.0,Demonstrations
North America,Protests,Peaceful protest,2,7242.0,Demonstrations
North America,Protests,Peaceful protest,3,7386.0,Demonstrations
North America,Protests,Peaceful protest,1,5077.0,Demonstrations
North America,Protests,Peaceful protest,1,12065.0,Demonstrations
North America,Protests,Peaceful protest,2,6212.0,Demonstrations
North America,Protests,Peaceful protest,1,5077.0,Demonstrations
North America,Protests,Peaceful protest,1,2442.0,Demonstrations
North America,Protests,Peaceful protest,3,19451.0,Demonstrations
North America,Protests,Peaceful protest,4,12487.0,Demonstrations
North America,Protests,Peaceful protest,2,5722.0,Demonstrations
North America,Protests,Peaceful protest,7,18182.0,Demonstrations
North America,Protests,Peaceful protest,6,17330.0,Demonstrations
North America,Protests,Peaceful protest,4,11641.0,Demonstrations
North America,Protests,Peaceful protest,9,33703.0,Demonstrations
North America,Protests,Peaceful protest,2,4611.0,Demonstrations
North America,Protests,Peaceful protest,7,22220.0,Demonstrations
North America,Protests,Peaceful protest,4,7613.0,Demonstrations
North America,Protests,Peaceful protest,6,7469.0,Demonstrations
North America,Protests,Peaceful protest,5,14248.0,Demonstrations
North America,Protests,Peaceful protest,2,12065.0,Demonstrations
North America,Protests,Peaceful protest,2,12065.0,Demonstrations
North America,Protests,Peaceful protest,3,16959.0,Demonstrations
North America,Protests,Peaceful protest,1,1362.0,Demonstrations
North America,Protests,Peaceful protest,1,12065.0,Demonstrations
North America,Protests,Peaceful protest,2,13189.0,Demonstrations
North America,Protests,Peaceful protest,1,5096.0,Demonstrations
North America,Protests,Peaceful protest,3,17207.0,Demonstrations
North America,Protests,Peaceful protest,1,2318.0,Demonstrations
North America,Protests,Peaceful protest,1,5096.0,Demonstrations
North America,Protests,Peaceful protest,3,8971.0,Demonstrations
North America,Protests,Peaceful protest,7,17933.0,Demonstrations
North America,Protests,Peaceful protest,9,20896.0,Demonstrations
North America,Protests,Peaceful protest,4,13388.0,Demonstrations
North America,Protests,Peaceful protest,4,11198.0,Demonstrations
North America,Protests,Peaceful protest,1,5096.0,Demonstrations
North America,Protests,Peaceful protest,5,22058.0,Demonstrations
North America,Protests,Peaceful protest,1,5096.0,Demonstrations
North America,Protests,Peaceful protest,4,17393.0,Demonstrations
North America,Protests,Peaceful protest,8,29206.0,Demonstrations
North America,Protests,Peaceful protest,8,25854.0,Demonstrations
North America,Protests,Peaceful protest,9,26559.0,Demonstrations
North America,Protests,Peaceful protest,2,5096.0,Demonstrations
North America,Protests,Peaceful protest,3,19380.0,Demonstrations
North America,Protests,Peaceful protest,6,25000.0,Demonstrations
North America,Protests,Peaceful protest,5,19659.0,Demonstrations
North America,Protests,Peaceful protest,6,25687.0,Demonstrations
North America,Protests,Peaceful protest,2,7631.0,Demonstrations
North America,Protests,Peaceful protest,3,5096.0,Demonstrations
North America,Protests,Peaceful protest,1,5096.0,Demonstrations
North America,Protests,Peaceful protest,1,1128.0,Demonstrations
North America,Protests,Peaceful protest,1,5096.0,Demonstrations
North America,Protests,Peaceful protest,1,1128.0,Demonstrations
North America,Protests,Peaceful protest,1,1128.0,Demonstrations
North America,Protests,Peaceful protest,4,17064.0,Demonstrations
North America,Protests,Peaceful protest,2,2561.0,Demonstrations
North America,Protests,Peaceful protest,1,12111.0,Demonstrations
North America,Protests,Peaceful protest,1,12111.0,Demonstrations
North America,Protests,Peaceful protest,1,2173.0,Demonstrations
North America,Protests,Peaceful protest,1,2318.0,Demonstrations
North America,Protests,Peaceful protest,1,1239.0,Demonstrations
North America,Protests,Peaceful protest,1,2452.0,Demonstrations
North America,Protests,Peaceful protest,1,12111.0,Demonstrations
North America,Protests,Peaceful protest,1,12111.0,Demonstrations
North America,Protests,Peaceful protest,1,2804.0,Demonstrations
North America,Protests,Peaceful protest,1,1134.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,3,6649.0,Demonstrations
North America,Protests,Peaceful protest,1,1134.0,Demonstrations
North America,Protests,Peaceful protest,3,8830.0,Demonstrations
North America,Protests,Peaceful protest,21,64941.0,Demonstrations
North America,Protests,Peaceful protest,2,7451.0,Demonstrations
North America,Protests,Peaceful protest,2,3708.0,Demonstrations
North America,Protests,Peaceful protest,6,25475.0,Demonstrations
North America,Protests,Peaceful protest,3,12189.0,Demonstrations
North America,Protests,Peaceful protest,3,19868.0,Demonstrations
North America,Protests,Peaceful protest,2,17294.0,Demonstrations
North America,Protests,Peaceful protest,3,9539.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,2,4540.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,5,9880.0,Demonstrations
North America,Protests,Peaceful protest,2,4758.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,5,19869.0,Demonstrations
North America,Protests,Peaceful protest,3,9260.0,Demonstrations
North America,Protests,Peaceful protest,1,2574.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,1,2184.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,2,14658.0,Demonstrations
North America,Protests,Peaceful protest,2,14260.0,Demonstrations
North America,Protests,Peaceful protest,2,17294.0,Demonstrations
North America,Protests,Peaceful protest,2,12172.0,Demonstrations
North America,Protests,Peaceful protest,3,15792.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,3,12172.0,Demonstrations
North America,Protests,Peaceful protest,3,17311.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,3,10025.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,4,17294.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
North America,Protests,Peaceful protest,2,17294.0,Demonstrations
North America,Protests,Peaceful protest,2,6782.0,Demonstrations
North America,Protests,Peaceful protest,2,5122.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,2,17294.0,Demonstrations
North America,Protests,Peaceful protest,3,5122.0,Demonstrations
North America,Protests,Peaceful protest,2,12172.0,Demonstrations
North America,Protests,Peaceful protest,1,6081.0,Demonstrations
North America,Protests,Peaceful protest,2,7306.0,Demonstrations
North America,Protests,Peaceful protest,2,17294.0,Demonstrations
North America,Protests,Peaceful protest,2,13306.0,Demonstrations
North America,Protests,Peaceful protest,1,5122.0,Demonstrations
North America,Protests,Peaceful protest,1,12172.0,Demonstrations
