WEEK,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE
09/06/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
09/27/2025,Mexico,Aguascalientes,Protests,Peaceful protest,1,0,20521.0,Demonstrations
10/18/2025,Mexico,Aguascalientes,Protests,Peaceful protest,2,0,20521.0,Demonstrations
05/23/2020,Mexico,Aguascalientes,Protests,Protest with intervention,1,0,20607.0,Demonstrations
01/29/2022,Mexico,Aguascalientes,Riots,Mob violence,1,0,92214.0,Political violence
07/08/2023,Mexico,Aguascalientes,Riots,Mob violence,1,0,92902.0,Political violence
03/06/2021,Mexico,Aguascalientes,Riots,Violent demonstration,1,0,91636.0,Demonstrations
10/09/2021,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,5010.0,Political violence
05/11/2024,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,4096.0,Political violence
02/01/2025,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,92902.0,Political violence
02/08/2025,Mexico,Aguascalientes,Violence against civilians,Abduction/forced disappearance,1,0,30380.0,Political violence
01/11/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,380112.0,Political violence
02/15/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,380112.0,Political violence
07/04/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,380112.0,Political violence
12/26/2020,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,41720.0,Political violence
01/16/2021,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,6907.0,Political violence
10/09/2021,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,373370.0,Political violence
01/01/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,375725.0,Political violence
09/03/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,375725.0,Political violence
10/29/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,9646.0,Political violence
11/12/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,2,4931.0,Political violence
12/17/2022,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,375725.0,Political violence
01/21/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
02/18/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,68369.0,Political violence
03/18/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,8048.0,Political violence
04/01/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
07/15/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
07/29/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
08/05/2023,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,8048.0,Political violence
01/20/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,68369.0,Political violence
02/10/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
03/23/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,21399.0,Political violence
06/22/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
07/13/2024,Mexico,Aguascalientes,Violence against civilians,Attack,4,2,134449.0,Political violence
08/31/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
09/28/2024,Mexico,Aguascalientes,Violence against civilians,Attack,1,0,1285.0,Political violence
01/11/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,4,2120.0,Political violence
01/25/2025,Mexico,Aguascalientes,Violence against civilians,Attack,3,2,378528.0,Political violence
02/22/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,9288.0,Political violence
03/01/2025,Mexico,Aguascalientes,Violence against civilians,Attack,2,2,384583.0,Political violence
06/28/2025,Mexico,Aguascalientes,Violence against civilians,Attack,2,1,378528.0,Political violence
07/05/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,0,92902.0,Political violence
08/09/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,378528.0,Political violence
09/13/2025,Mexico,Aguascalientes,Violence against civilians,Attack,1,1,7833.0,Political violence
12/28/2019,Mexico,Baja California,Battles,Armed clash,2,0,54766.0,Political violence
01/18/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
01/25/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
02/15/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
02/22/2020,Mexico,Baja California,Battles,Armed clash,4,2,54766.0,Political violence
03/07/2020,Mexico,Baja California,Battles,Armed clash,2,1,78729.0,Political violence
03/14/2020,Mexico,Baja California,Battles,Armed clash,1,1,78729.0,Political violence
03/21/2020,Mexico,Baja California,Battles,Armed clash,3,5,78729.0,Political violence
03/28/2020,Mexico,Baja California,Battles,Armed clash,2,1,209131.0,Political violence
04/04/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
04/25/2020,Mexico,Baja California,Battles,Armed clash,2,6,209131.0,Political violence
05/02/2020,Mexico,Baja California,Battles,Armed clash,4,3,133495.0,Political violence
05/09/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
05/23/2020,Mexico,Baja California,Battles,Armed clash,3,3,200057.0,Political violence
05/30/2020,Mexico,Baja California,Battles,Armed clash,1,0,66562.0,Political violence
06/13/2020,Mexico,Baja California,Battles,Armed clash,2,4,54766.0,Political violence
06/20/2020,Mexico,Baja California,Battles,Armed clash,2,0,54766.0,Political violence
07/18/2020,Mexico,Baja California,Battles,Armed clash,2,1,54766.0,Political violence
07/25/2020,Mexico,Baja California,Battles,Armed clash,1,2,3583.0,Political violence
08/01/2020,Mexico,Baja California,Battles,Armed clash,4,4,54766.0,Political violence
08/15/2020,Mexico,Baja California,Battles,Armed clash,1,1,54766.0,Political violence
08/22/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
08/29/2020,Mexico,Baja California,Battles,Armed clash,2,1,209131.0,Political violence
09/12/2020,Mexico,Baja California,Battles,Armed clash,2,3,57705.0,Political violence
09/19/2020,Mexico,Baja California,Battles,Armed clash,1,0,154365.0,Political violence
10/03/2020,Mexico,Baja California,Battles,Armed clash,2,2,54766.0,Political violence
10/31/2020,Mexico,Baja California,Battles,Armed clash,1,0,4303.0,Political violence
11/14/2020,Mexico,Baja California,Battles,Armed clash,1,0,54766.0,Political violence
11/28/2020,Mexico,Baja California,Battles,Armed clash,1,1,154365.0,Political violence
12/05/2020,Mexico,Baja California,Battles,Armed clash,3,1,138349.0,Political violence
12/12/2020,Mexico,Baja California,Battles,Armed clash,1,1,66562.0,Political violence
12/26/2020,Mexico,Baja California,Battles,Armed clash,1,0,78729.0,Political violence
01/02/2021,Mexico,Baja California,Battles,Armed clash,2,0,141546.0,Political violence
01/09/2021,Mexico,Baja California,Battles,Armed clash,1,1,3489.0,Political violence
01/16/2021,Mexico,Baja California,Battles,Armed clash,1,1,53791.0,Political violence
01/23/2021,Mexico,Baja California,Battles,Armed clash,2,2,141546.0,Political violence
01/30/2021,Mexico,Baja California,Battles,Armed clash,1,2,65381.0,Political violence
02/06/2021,Mexico,Baja California,Battles,Armed clash,1,1,76165.0,Political violence
02/13/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
02/20/2021,Mexico,Baja California,Battles,Armed clash,1,0,1256.0,Political violence
03/06/2021,Mexico,Baja California,Battles,Armed clash,2,3,300893.0,Political violence
03/13/2021,Mexico,Baja California,Battles,Armed clash,1,1,53791.0,Political violence
03/20/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
03/27/2021,Mexico,Baja California,Battles,Armed clash,2,1,119172.0,Political violence
04/03/2021,Mexico,Baja California,Battles,Armed clash,3,2,75875.0,Political violence
04/10/2021,Mexico,Baja California,Battles,Armed clash,2,1,57815.0,Political violence
04/17/2021,Mexico,Baja California,Battles,Armed clash,5,4,377058.0,Political violence
05/01/2021,Mexico,Baja California,Battles,Armed clash,2,4,68753.0,Political violence
05/08/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
05/15/2021,Mexico,Baja California,Battles,Armed clash,1,1,53791.0,Political violence
05/22/2021,Mexico,Baja California,Battles,Armed clash,3,1,71469.0,Political violence
05/29/2021,Mexico,Baja California,Battles,Armed clash,2,3,27884.0,Political violence
06/12/2021,Mexico,Baja California,Battles,Armed clash,2,0,53791.0,Political violence
06/26/2021,Mexico,Baja California,Battles,Armed clash,1,1,65381.0,Political violence
07/03/2021,Mexico,Baja California,Battles,Armed clash,4,1,129956.0,Political violence
07/10/2021,Mexico,Baja California,Battles,Armed clash,2,0,218653.0,Political violence
07/17/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
07/24/2021,Mexico,Baja California,Battles,Armed clash,1,8,164862.0,Political violence
08/14/2021,Mexico,Baja California,Battles,Armed clash,1,0,164862.0,Political violence
08/21/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
08/28/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
09/04/2021,Mexico,Baja California,Battles,Armed clash,1,2,53791.0,Political violence
09/11/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
09/18/2021,Mexico,Baja California,Battles,Armed clash,2,4,53791.0,Political violence
10/02/2021,Mexico,Baja California,Battles,Armed clash,4,1,53791.0,Political violence
10/09/2021,Mexico,Baja California,Battles,Armed clash,1,0,53791.0,Political violence
10/16/2021,Mexico,Baja California,Battles,Armed clash,3,3,53791.0,Political violence
10/30/2021,Mexico,Baja California,Battles,Armed clash,1,3,13890.0,Political violence
11/13/2021,Mexico,Baja California,Battles,Armed clash,2,1,53791.0,Political violence
11/20/2021,Mexico,Baja California,Battles,Armed clash,3,1,53791.0,Political violence
11/27/2021,Mexico,Baja California,Battles,Armed clash,1,1,53791.0,Political violence
12/04/2021,Mexico,Baja California,Battles,Armed clash,1,0,247102.0,Political violence
12/18/2021,Mexico,Baja California,Battles,Armed clash,1,0,76165.0,Political violence
12/25/2021,Mexico,Baja California,Battles,Armed clash,1,2,164862.0,Political violence
01/01/2022,Mexico,Baja California,Battles,Armed clash,1,1,65794.0,Political violence
01/08/2022,Mexico,Baja California,Battles,Armed clash,2,3,168635.0,Political violence
01/15/2022,Mexico,Baja California,Battles,Armed clash,1,0,165902.0,Political violence
01/29/2022,Mexico,Baja California,Battles,Armed clash,1,0,248661.0,Political violence
