WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
10/18/2025,Mexico,6523346.0,128
10/19/2024,Mexico,9226186.0,203
10/21/2023,Mexico,8202138.0,134
10/22/2022,Mexico,11261551.0,174
10/23/2021,Mexico,8636481.0,164
10/24/2020,Mexico,6539065.0,128
10/26/2024,Mexico,8534051.0,158
10/28/2023,Mexico,6753370.0,134
10/29/2022,Mexico,11708039.0,171
10/30/2021,Mexico,9850211.0,175
10/31/2020,Mexico,9433936.0,155
11/02/2024,Mexico,7398144.0,186
11/04/2023,Mexico,7427528.0,129
11/05/2022,Mexico,9201720.0,147
11/06/2021,Mexico,7051396.0,156
11/07/2020,Mexico,7938640.0,113
11/09/2024,Mexico,8114787.0,164
11/11/2023,Mexico,7962388.0,91
11/12/2022,Mexico,8195367.0,145
11/13/2021,Mexico,8658787.0,183
11/14/2020,Mexico,8519172.0,166
11/16/2024,Mexico,8119772.0,156
11/18/2023,Mexico,8323951.0,111
11/19/2022,Mexico,7500053.0,137
11/20/2021,Mexico,8998811.0,153
11/21/2020,Mexico,9898576.0,166
11/23/2024,Mexico,9085920.0,170
11/25/2023,Mexico,6843511.0,110
11/26/2022,Mexico,7010239.0,97
11/27/2021,Mexico,6971356.0,105
11/28/2020,Mexico,8372939.0,144
11/30/2024,Mexico,8707947.0,201
12/02/2023,Mexico,8055311.0,130
12/03/2022,Mexico,9422709.0,184
12/04/2021,Mexico,7378555.0,149
12/05/2020,Mexico,9378665.0,131
12/07/2024,Mexico,6433360.0,118
12/09/2023,Mexico,7820416.0,122
12/10/2022,Mexico,7698988.0,150
12/11/2021,Mexico,7564268.0,125
12/12/2020,Mexico,8591636.0,174
12/14/2024,Mexico,6976367.0,157
12/16/2023,Mexico,7681892.0,139
12/17/2022,Mexico,8226825.0,133
12/18/2021,Mexico,8170671.0,120
12/19/2020,Mexico,6762048.0,132
12/21/2024,Mexico,6885967.0,121
12/23/2023,Mexico,6544204.0,94
12/24/2022,Mexico,5454741.0,104
12/25/2021,Mexico,8649601.0,149
12/26/2020,Mexico,5578695.0,123
12/28/2019,Mexico,2616779.0,93
12/28/2024,Mexico,7046964.0,116
12/30/2023,Mexico,5906555.0,115
12/31/2022,Mexico,7618813.0,215
