WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
05/31/2025,Russia,2697984.0,25
05/31/2025,Ukraine,7656165.0,1551
06/01/2024,Russia,925720.0,3
06/01/2024,Ukraine,6079972.0,2410
06/03/2023,Russia,1378491.0,7
06/03/2023,Ukraine,5064680.0,626
06/04/2022,Russia,18951.0,0
06/04/2022,Ukraine,7051085.0,808
06/05/2021,Russia,229239.0,0
06/05/2021,Ukraine,331878.0,6
06/06/2020,Russia,64911.0,0
06/06/2020,Ukraine,511713.0,0
06/07/2025,Russia,2329421.0,3
06/07/2025,Ukraine,5319808.0,1684
06/08/2024,Russia,928020.0,9
06/08/2024,Ukraine,4631499.0,2224
06/10/2023,Russia,834842.0,2
06/10/2023,Ukraine,4800463.0,971
06/11/2022,Russia,186374.0,0
06/11/2022,Ukraine,5913365.0,560
06/12/2021,Russia,57360.0,0
06/12/2021,Ukraine,484585.0,2
06/13/2020,Russia,8427.0,0
06/13/2020,Ukraine,768703.0,4
06/14/2025,Russia,2288071.0,12
06/14/2025,Ukraine,6115876.0,1588
06/15/2024,Russia,1359892.0,14
06/15/2024,Ukraine,4417099.0,1547
06/17/2023,Russia,140260.0,0
06/17/2023,Ukraine,4583169.0,896
06/18/2022,Russia,113373.0,1
06/18/2022,Ukraine,6078644.0,635
06/19/2021,Russia,110386.0,0
06/19/2021,Ukraine,491807.0,10
06/20/2020,Russia,64911.0,0
06/20/2020,Ukraine,735491.0,2
06/21/2025,Russia,2471755.0,5
06/21/2025,Ukraine,6793838.0,1399
06/22/2024,Russia,1736479.0,24
06/22/2024,Ukraine,5334063.0,2154
06/24/2023,Russia,547134.0,13
06/24/2023,Ukraine,4843239.0,688
06/25/2022,Russia,7485.0,0
06/25/2022,Ukraine,6783780.0,830
06/26/2021,Russia,278764.0,1
06/26/2021,Ukraine,403061.0,3
06/27/2020,Russia,109619.0,0
06/27/2020,Ukraine,869207.0,2
06/28/2025,Russia,2762200.0,28
06/28/2025,Ukraine,7016235.0,1247
06/29/2024,Russia,1466760.0,9
06/29/2024,Ukraine,5221017.0,2108
07/01/2023,Russia,238124.0,1
07/01/2023,Ukraine,4313520.0,740
07/02/2022,Russia,586466.0,6
07/02/2022,Ukraine,6173665.0,381
07/03/2021,Russia,95392.0,0
07/03/2021,Ukraine,332550.0,4
07/04/2020,Russia,58407.0,0
07/04/2020,Ukraine,525294.0,3
07/05/2025,Russia,3709686.0,17
07/05/2025,Ukraine,7101336.0,1217
07/06/2024,Russia,1168440.0,14
07/06/2024,Ukraine,5599265.0,1283
07/08/2023,Russia,391685.0,2
07/08/2023,Ukraine,5417882.0,1033
07/09/2022,Russia,48701.0,0
07/09/2022,Ukraine,7952807.0,720
07/10/2021,Russia,136656.0,0
07/10/2021,Ukraine,717314.0,1
07/11/2020,Russia,16282.0,0
07/11/2020,Ukraine,941531.0,5
07/12/2025,Russia,2006425.0,8
07/12/2025,Ukraine,8164329.0,1177
07/13/2024,Russia,836583.0,5
07/13/2024,Ukraine,4838362.0,1277
07/15/2023,Russia,88113.0,1
07/15/2023,Ukraine,5781429.0,648
07/16/2022,Russia,36721.0,1
07/16/2022,Ukraine,6249190.0,562
07/17/2021,Russia,344010.0,1
07/17/2021,Ukraine,383831.0,0
07/18/2020,Russia,98084.0,4
07/18/2020,Ukraine,500311.0,2
07/19/2025,Russia,1586874.0,4
07/19/2025,Ukraine,6730211.0,1076
07/20/2024,Russia,1857273.0,10
07/20/2024,Ukraine,5078928.0,1306
07/22/2023,Russia,841629.0,0
07/22/2023,Ukraine,5212214.0,883
07/23/2022,Russia,183200.0,2
07/23/2022,Ukraine,6964300.0,951
