WEEK,COUNTRY,POPULATION_EXPOSURE,FATALITIES
08/20/2022,Palestine,489059.0,0
08/21/2021,Israel,174898.0,0
08/21/2021,Palestine,804239.0,4
08/22/2020,Israel,267750.0,1
08/22/2020,Palestine,764285.0,0
08/23/2025,Israel,44863.0,0
08/23/2025,Palestine,3290024.0,407
08/24/2024,Israel,408982.0,2
08/24/2024,Palestine,3277684.0,470
08/26/2023,Israel,143245.0,1
08/26/2023,Palestine,888289.0,5
08/27/2022,Palestine,606985.0,2
08/28/2021,Israel,4835.0,0
08/28/2021,Palestine,739206.0,6
08/29/2020,Israel,26455.0,0
08/29/2020,Palestine,632184.0,0
08/30/2025,Israel,122796.0,0
08/30/2025,Palestine,2641787.0,488
08/31/2024,Israel,202988.0,0
08/31/2024,Palestine,3299365.0,308
09/02/2023,Israel,81034.0,0
09/02/2023,Palestine,798066.0,2
09/03/2022,Israel,53056.0,1
09/03/2022,Palestine,672999.0,6
09/04/2021,Israel,36887.0,0
09/04/2021,Palestine,932406.0,1
09/05/2020,Israel,13561.0,0
09/05/2020,Palestine,391119.0,0
09/06/2025,Israel,131532.0,0
09/06/2025,Palestine,2852744.0,453
09/07/2024,Israel,260341.0,0
09/07/2024,Palestine,2895553.0,300
09/09/2023,Israel,183898.0,0
09/09/2023,Palestine,969226.0,8
09/10/2022,Israel,91604.0,0
09/10/2022,Palestine,580153.0,4
09/11/2021,Israel,181140.0,0
09/11/2021,Palestine,989026.0,0
09/12/2020,Israel,55227.0,0
09/12/2020,Palestine,671964.0,1
09/13/2025,Israel,191550.0,0
09/13/2025,Palestine,2783663.0,430
09/14/2024,Israel,242038.0,2
09/14/2024,Palestine,2693986.0,380
09/16/2023,Israel,27322.0,0
09/16/2023,Palestine,1274717.0,7
09/17/2022,Israel,163877.0,1
09/17/2022,Palestine,1021332.0,2
09/18/2021,Israel,28725.0,1
09/18/2021,Palestine,819182.0,1
09/19/2020,Israel,53538.0,0
09/19/2020,Palestine,346920.0,0
09/20/2025,Israel,45172.0,0
09/20/2025,Palestine,3105133.0,413
09/21/2024,Israel,1311355.0,2
09/21/2024,Palestine,3090473.0,261
09/23/2023,Israel,97404.0,0
09/23/2023,Palestine,1197370.0,3
09/24/2022,Israel,89019.0,0
09/24/2022,Palestine,1442985.0,8
