WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
09/17/2022,North America,Canada,Alberta,Protests,Peaceful protest,7,0,30053,Demonstrations,485,54.498,-115.0035
09/24/2022,North America,Canada,Alberta,Protests,Peaceful protest,5,0,31802,Demonstrations,485,54.498,-115.0035
10/01/2022,North America,Canada,Alberta,Protests,Peaceful protest,7,0,33522,Demonstrations,485,54.498,-115.0035
10/08/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,22081,Demonstrations,485,54.498,-115.0035
10/15/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,35152,Demonstrations,485,54.498,-115.0035
10/22/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,30053,Demonstrations,485,54.498,-115.0035
10/29/2022,North America,Canada,Alberta,Protests,Peaceful protest,3,0,31838,Demonstrations,485,54.498,-115.0035
11/05/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
11/12/2022,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30053,Demonstrations,485,54.498,-115.0035
11/19/2022,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30053,Demonstrations,485,54.498,-115.0035
11/26/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22081,Demonstrations,485,54.498,-115.0035
12/03/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22081,Demonstrations,485,54.498,-115.0035
12/10/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7972,Demonstrations,485,54.498,-115.0035
12/17/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7972,Demonstrations,485,54.498,-115.0035
12/31/2022,North America,Canada,Alberta,Protests,Peaceful protest,1,0,7972,Demonstrations,485,54.498,-115.0035
01/07/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
01/14/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,8040,Demonstrations,485,54.498,-115.0035
01/21/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,32109,Demonstrations,485,54.498,-115.0035
01/28/2023,North America,Canada,Alberta,Protests,Peaceful protest,4,0,10417,Demonstrations,485,54.498,-115.0035
02/04/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
02/11/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,24069,Demonstrations,485,54.498,-115.0035
02/18/2023,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
02/25/2023,North America,Canada,Alberta,Protests,Peaceful protest,4,0,24069,Demonstrations,485,54.498,-115.0035
03/04/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,8040,Demonstrations,485,54.498,-115.0035
03/18/2023,North America,Canada,Alberta,Protests,Peaceful protest,5,0,38034,Demonstrations,485,54.498,-115.0035
03/25/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,8040,Demonstrations,485,54.498,-115.0035
04/01/2023,North America,Canada,Alberta,Protests,Peaceful protest,4,0,30309,Demonstrations,485,54.498,-115.0035
04/08/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,8040,Demonstrations,485,54.498,-115.0035
04/15/2023,North America,Canada,Alberta,Protests,Peaceful protest,8,0,40223,Demonstrations,485,54.498,-115.0035
04/22/2023,North America,Canada,Alberta,Protests,Peaceful protest,3,0,32109,Demonstrations,485,54.498,-115.0035
04/29/2023,North America,Canada,Alberta,Protests,Peaceful protest,8,0,35938,Demonstrations,485,54.498,-115.0035
05/06/2023,North America,Canada,Alberta,Protests,Peaceful protest,5,0,30309,Demonstrations,485,54.498,-115.0035
05/13/2023,North America,Canada,Alberta,Protests,Peaceful protest,1,0,22269,Demonstrations,485,54.498,-115.0035
06/03/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,30309,Demonstrations,485,54.498,-115.0035
06/10/2023,North America,Canada,Alberta,Protests,Peaceful protest,2,0,9840,Demonstrations,485,54.498,-115.0035
