WEEK,COUNTRY,EVENT_TYPE,EVENTS,CENTROID_LATITUDE,CENTROID_LONGITUDE
03/08/2025,Russia,Explosions/Remote violence,282,50.6124,37.2397
03/15/2025,Russia,Explosions/Remote violence,241,50.6124,37.2397
03/22/2025,Russia,Explosions/Remote violence,179,50.6124,37.2397
03/29/2025,Russia,Explosions/Remote violence,179,50.6124,37.2397
04/05/2025,Russia,Explosions/Remote violence,211,50.6124,37.2397
04/12/2025,Russia,Explosions/Remote violence,271,50.6124,37.2397
04/19/2025,Russia,Explosions/Remote violence,268,50.6124,37.2397
04/26/2025,Russia,Explosions/Remote violence,238,50.6124,37.2397
05/03/2025,Russia,Explosions/Remote violence,255,50.6124,37.2397
05/10/2025,Russia,Explosions/Remote violence,266,50.6124,37.2397
05/17/2025,Russia,Explosions/Remote violence,286,50.6124,37.2397
05/24/2025,Russia,Explosions/Remote violence,232,50.6124,37.2397
05/31/2025,Russia,Explosions/Remote violence,291,50.6124,37.2397
06/07/2025,Russia,Explosions/Remote violence,260,50.6124,37.2397
06/14/2025,Russia,Explosions/Remote violence,206,50.6124,37.2397
06/21/2025,Russia,Explosions/Remote violence,222,50.6124,37.2397
06/28/2025,Russia,Explosions/Remote violence,220,50.6124,37.2397
07/05/2025,Russia,Explosions/Remote violence,285,50.6124,37.2397
07/12/2025,Russia,Explosions/Remote violence,295,50.6124,37.2397
07/19/2025,Russia,Explosions/Remote violence,276,50.6124,37.2397
07/26/2025,Russia,Explosions/Remote violence,290,50.6124,37.2397
08/02/2025,Russia,Explosions/Remote violence,304,50.6124,37.2397
08/09/2025,Russia,Explosions/Remote violence,310,50.6124,37.2397
08/16/2025,Russia,Explosions/Remote violence,298,50.6124,37.2397
08/23/2025,Russia,Explosions/Remote violence,281,50.6124,37.2397
08/30/2025,Russia,Explosions/Remote violence,283,50.6124,37.2397
09/06/2025,Russia,Explosions/Remote violence,266,50.6124,37.2397
09/13/2025,Russia,Explosions/Remote violence,298,50.6124,37.2397
09/20/2025,Russia,Explosions/Remote violence,344,50.6124,37.2397
09/27/2025,Russia,Explosions/Remote violence,269,50.6124,37.2397
10/04/2025,Russia,Explosions/Remote violence,254,50.6124,37.2397
10/11/2025,Russia,Explosions/Remote violence,336,50.6124,37.2397
07/02/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/13/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/15/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
11/19/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/15/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/22/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/13/2023,Russia,Explosions/Remote violence,2,50.6124,37.2397
08/05/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/12/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
12/09/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
12/16/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
12/30/2023,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/27/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/18/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/06/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/20/2024,Russia,Explosions/Remote violence,2,50.6124,37.2397
09/07/2024,Russia,Explosions/Remote violence,3,50.6124,37.2397
09/21/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/12/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/19/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
10/26/2024,Russia,Explosions/Remote violence,2,50.6124,37.2397
11/02/2024,Russia,Explosions/Remote violence,1,50.6124,37.2397
11/09/2024,Russia,Explosions/Remote violence,3,50.6124,37.2397
01/18/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
02/01/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
03/08/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
03/15/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
03/22/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
03/29/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/05/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/12/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/19/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
05/03/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/24/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
05/31/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
06/14/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
07/05/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/16/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
08/23/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
09/20/2025,Russia,Explosions/Remote violence,1,50.6124,37.2397
09/27/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
10/04/2025,Russia,Explosions/Remote violence,2,50.6124,37.2397
03/26/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/09/2022,Russia,Explosions/Remote violence,2,50.6124,37.2397
04/16/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
04/23/2022,Russia,Explosions/Remote violence,4,50.6124,37.2397
04/30/2022,Russia,Explosions/Remote violence,3,50.6124,37.2397
05/07/2022,Russia,Explosions/Remote violence,1,50.6124,37.2397
